hour,solar,wind_offshore,wind_onshore,load,hour_of_day
2017-01-18 05:00:00,0.0,259.25,40.932,53320.0,5
2017-01-18 06:00:00,0.0,256.75,37.345,63167.0,6
2017-01-18 07:00:00,0.0,231.749,30.731,69407.0,7
2017-01-18 08:00:00,33.467,290.25,22.057,71376.0,8
2017-01-18 09:00:00,144.88,240.5,21.123,71615.0,9
2017-01-18 10:00:00,235.625,227.001,27.911,71322.0,10
2017-01-18 11:00:00,299.444,244.25,35.922,70388.0,11
2017-01-18 12:00:00,389.065,284.001,34.568,70018.0,12
2017-01-18 13:00:00,419.356,272.251,27.076,69081.0,13
2017-01-18 14:00:00,263.98,237.5,23.405,69022.0,14
2017-01-18 15:00:00,65.16,222.75,28.417,70095.0,15
2017-01-18 16:00:00,1.203,186.251,36.884,73855.0,16
2017-01-18 17:00:00,0.0,179.5,28.763,71595.0,17
2017-01-18 18:00:00,0.0,159.0,29.965,68896.0,18
