,power,potential,cost,state_of_charge,cycle_count
2021-01-04 17:30:00+00:00,-1.0,-2.0,-0.59310279,0.536381579,0.059375
2021-01-04 17:45:00+00:00,-1.0,-2.0,-0.548127062,0.655131579,0.059375
2021-01-04 18:00:00+00:00,-0.6,-1.2,-0.293460399,0.726381579,0.035625
2021-01-04 18:15:00+00:00,-0.733333333,-1.466666667,-0.215793228,0.813464912,0.043541667
2021-01-04 18:30:00+00:00,-0.266666667,-0.533333333,-0.044169038,0.845131579,0.015833333
2021-01-04 18:45:00+00:00,-0.462049861,-0.924099723,-0.00165652,0.9,0.027434211
2021-01-04 19:00:00+00:00,1.0,2.0,0.695766172,0.768421053,0.065789474
2021-01-04 19:15:00+00:00,-0.133333333,-0.266666667,-0.037066948,0.784254386,0.007916667
2021-01-04 19:30:00+00:00,-0.2,-0.4,-0.042994549,0.808004386,0.011875
2021-01-04 19:45:00+00:00,0.0,0.0,0.0,0.808004386,0.0
2021-01-04 20:00:00+00:00,0.333333333,0.666666667,0.23507567,0.764144737,0.021929825
2021-01-04 20:15:00+00:00,-0.066666667,-0.133333333,-0.021380687,0.772061404,0.003958333
2021-01-04 20:30:00+00:00,0.0,0.0,0.0,0.772061404,0.0
2021-01-04 20:45:00+00:00,-0.2,-0.4,-0.050700281,0.795811404,0.011875
2021-01-04 21:00:00+00:00,0.0,0.0,0.130134698,0.792390351,0.033377193
2021-01-04 21:15:00+00:00,0.6,1.2,0.472278436,0.710877193,0.064506579
2021-01-04 21:30:00+00:00,-0.933333333,-1.866666667,-0.291315451,0.821710526,0.055416667
2021-01-04 21:45:00+00:00,-0.2,-0.4,-0.030902371,0.845460526,0.011875
2021-01-04 22:00:00+00:00,-0.133333333,-0.266666667,0.033679212,0.860438596,0.016260965
2021-01-04 22:15:00+00:00,-0.266666667,-0.533333333,0.042553364,0.89125,0.024177632
2021-01-04 22:30:00+00:00,-0.073684211,-0.147368421,0.009625199,0.9,0.004375
2021-01-04 22:45:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 23:00:00+00:00,1.0,2.0,0.691293055,0.768421053,0.065789474
2021-01-04 23:15:00+00:00,0.4,0.8,0.291652317,0.715789474,0.026315789
2021-01-04 23:30:00+00:00,-0.2,-0.4,-0.047617965,0.739539474,0.011875
2021-01-04 23:45:00+00:00,0.6,1.2,0.453062327,0.660592105,0.039473684
2021-01-05 00:00:00+00:00,0.533333333,1.066666667,0.421237214,0.590416667,0.035087719
2021-01-05 00:15:00+00:00,1.0,2.0,0.834560276,0.458837719,0.065789474
2021-01-05 00:30:00+00:00,-0.933333333,-1.866666667,-0.51578942,0.569671053,0.055416667
2021-01-05 00:45:00+00:00,-0.733333333,-1.466666667,-0.341554046,0.656754386,0.043541667
2021-01-05 01:00:00+00:00,0.0,0.0,0.0,0.656754386,0.0
2021-01-05 01:15:00+00:00,-0.2,-0.4,-0.072982858,0.680504386,0.011875
2021-01-05 01:30:00+00:00,-0.066666667,-0.133333333,-0.022530639,0.688421053,0.003958333
2021-01-05 01:45:00+00:00,-0.066666667,-0.133333333,-0.021388889,0.696337719,0.003958333
2021-01-05 02:00:00+00:00,0.0,0.0,0.0,0.696337719,0.0
