,market_position,shortage_price,surplus_price
2021-01-05 06:30:00+00:00,-0.133333333,43.38,36.21
2021-01-05 06:45:00+00:00,-1.0,94.8,94.8
2021-01-05 07:00:00+00:00,0.6,44.14,8.57
2021-01-05 07:15:00+00:00,-0.133333333,48.37,38.92
2021-01-05 07:30:00+00:00,-1.0,450.0,450.0
2021-01-05 07:45:00+00:00,-1.0,450.0,450.0
2021-01-05 08:00:00+00:00,-0.666666667,62.58,62.58
2021-01-05 08:15:00+00:00,-1.0,279.24,279.24
2021-01-05 08:30:00+00:00,-1.0,279.24,279.24
2021-01-05 08:45:00+00:00,-0.603666667,450.0,450.0
2021-01-05 09:00:00+00:00,0.333333333,55.77,44.9
2021-01-05 09:15:00+00:00,-0.234166667,53.65,53.65
2021-01-05 09:30:00+00:00,0.273166667,48.86,48.86
2021-01-05 09:45:00+00:00,-0.066666667,48.29,48.29
2021-01-05 10:00:00+00:00,0.466666667,35.43,35.43
2021-01-05 10:15:00+00:00,0.8,37.31,37.31
2021-01-05 10:30:00+00:00,-0.133333333,35.43,35.43
2021-01-05 10:45:00+00:00,0.866666667,46.45,35.43
2021-01-05 11:00:00+00:00,-0.866666667,61.4,61.4
2021-01-05 11:15:00+00:00,-0.133333333,52.07,52.07
2021-01-05 11:30:00+00:00,0.466666667,36.42,36.42
2021-01-05 11:45:00+00:00,1.0,36.92,36.92
2021-01-05 12:00:00+00:00,0.0,46.78,37.93
2021-01-05 12:15:00+00:00,-0.266666667,46.78,46.78
2021-01-05 12:30:00+00:00,-0.333333333,46.9,46.9
2021-01-05 12:45:00+00:00,0.0,46.9,44.72
2021-01-05 13:00:00+00:00,0.666666667,30.43,30.43
2021-01-05 13:15:00+00:00,0.266666667,38.21,38.21
2021-01-05 13:30:00+00:00,0.466666667,32.83,32.83
2021-01-05 13:45:00+00:00,-0.133333333,38.21,38.21
2021-01-05 14:00:00+00:00,0.666666667,35.07,35.07
2021-01-05 14:15:00+00:00,0.266666667,33.92,33.92
2021-01-05 14:30:00+00:00,0.0,35.43,35.43
2021-01-05 14:45:00+00:00,0.0,30.43,30.43
2021-01-05 15:00:00+00:00,0.4,30.38,30.38
2021-01-05 15:15:00+00:00,0.0,33.89,33.89
2021-01-05 15:30:00+00:00,0.2,22.93,22.93
2021-01-05 15:45:00+00:00,-0.8,46.6,46.6
2021-01-05 16:00:00+00:00,0.8,-29.36,-29.36
2021-01-05 16:15:00+00:00,-0.266666667,45.55,40.82
2021-01-05 16:30:00+00:00,0.333333333,30.43,30.43
2021-01-05 16:45:00+00:00,0.666666667,-14.57,-14.57
2021-01-05 17:00:00+00:00,0.0,22.53,22.53
2021-01-05 17:15:00+00:00,0.0,25.66,25.66
2021-01-05 17:30:00+00:00,0.666666667,8.0,8.0
2021-01-05 17:45:00+00:00,0.066666667,17.59,17.59
2021-01-05 18:00:00+00:00,-0.2,21.62,21.62
2021-01-05 18:15:00+00:00,0.2,-52.67,-52.67
2021-01-05 18:30:00+00:00,0.333333333,47.83,-51.41
2021-01-05 18:45:00+00:00,0.4,13.0,13.0
2021-01-05 19:00:00+00:00,-0.533333333,47.83,27.75
2021-01-05 19:15:00+00:00,-0.866666667,45.78,45.78
2021-01-05 19:30:00+00:00,-0.066666667,37.97,37.97
2021-01-05 19:45:00+00:00,0.266666667,19.13,19.13
2021-01-05 20:00:00+00:00,-0.4,44.49,29.72
2021-01-05 20:15:00+00:00,-0.266666667,45.04,37.67
2021-01-05 20:30:00+00:00,0.0,43.97,43.97
2021-01-05 20:45:00+00:00,0.0,44.48,44.48
2021-01-05 21:00:00+00:00,-0.933333333,108.44,108.44
2021-01-05 21:15:00+00:00,-0.933333333,30.06,30.06
2021-01-05 21:30:00+00:00,0.8,8.5,8.5
2021-01-05 21:45:00+00:00,0.866666667,31.3,31.3
2021-01-05 22:00:00+00:00,-0.333333333,44.62,44.62
2021-01-05 22:15:00+00:00,0.066666667,-0.09,-0.09
2021-01-05 22:30:00+00:00,1.0,-1.96,-1.96
2021-01-05 22:45:00+00:00,1.0,-16.98,-16.98
2021-01-05 23:00:00+00:00,0.2,-24.25,-24.25
2021-01-05 23:15:00+00:00,0.2,29.35,29.35
2021-01-05 23:30:00+00:00,0.0,26.73,26.73
2021-01-05 23:45:00+00:00,0.333333333,-5.8,-5.8
2021-01-06 00:00:00+00:00,-0.733333333,50.4,35.28
2021-01-06 00:15:00+00:00,0.0,35.28,35.28
2021-01-06 00:30:00+00:00,0.0,32.63,32.63
2021-01-06 00:45:00+00:00,0.066666667,22.07,22.07
2021-01-06 01:00:00+00:00,-1.0,72.9,42.08
2021-01-06 01:15:00+00:00,-0.066666667,38.33,38.33
2021-01-06 01:30:00+00:00,0.0,38.33,38.33
2021-01-06 01:45:00+00:00,-0.133333333,38.33,38.33
2021-01-06 02:00:00+00:00,0.333333333,26.68,26.68
2021-01-06 02:15:00+00:00,0.0,38.23,38.23
2021-01-06 02:30:00+00:00,0.0,31.06,31.06
2021-01-06 02:45:00+00:00,0.0,55.4,55.4
2021-01-06 03:00:00+00:00,-0.933333333,62.9,62.9
2021-01-06 03:15:00+00:00,-0.933333333,55.4,55.4
2021-01-06 03:30:00+00:00,-0.4,47.9,47.9
2021-01-06 03:45:00+00:00,-0.4,47.9,40.5
2021-01-06 04:00:00+00:00,1.0,-125.65,-125.65
2021-01-06 04:15:00+00:00,0.933333333,8.09,8.09
2021-01-06 04:30:00+00:00,1.0,15.19,15.19
2021-01-06 04:45:00+00:00,0.666666667,2.4,2.4
2021-01-06 05:00:00+00:00,0.933333333,4.52,4.52
2021-01-06 05:15:00+00:00,0.36823638,-125.65,-125.65
2021-01-06 05:30:00+00:00,0.0,-127.84,-127.84
2021-01-06 05:45:00+00:00,-0.666666667,55.4,27.3
2021-01-06 06:00:00+00:00,0.533333333,14.19,14.19
2021-01-06 06:15:00+00:00,-0.6,77.94,35.1
2021-01-06 06:30:00+00:00,-1.0,50.18,50.18
2021-01-06 06:45:00+00:00,-0.2,42.68,26.65
2021-01-06 07:00:00+00:00,0.0,57.59,57.59
2021-01-06 07:15:00+00:00,-1.0,630.4,630.4
2021-01-06 07:30:00+00:00,-1.0,277.9,277.9
2021-01-06 07:45:00+00:00,-1.0,77.91,77.91
2021-01-06 08:00:00+00:00,0.466666667,51.48,10.0
2021-01-06 08:15:00+00:00,1.0,31.98,31.98
2021-01-06 08:30:00+00:00,0.6,34.73,34.73
2021-01-06 08:45:00+00:00,0.133333333,42.68,42.68
2021-01-06 09:00:00+00:00,-0.733333333,47.32,38.0
2021-01-06 09:15:00+00:00,0.933333333,30.44,30.44
2021-01-06 09:30:00+00:00,0.6,31.73,31.73
2021-01-06 09:45:00+00:00,0.266666667,32.64,32.64
2021-01-06 10:00:00+00:00,-0.066666667,36.44,36.44
2021-01-06 10:15:00+00:00,0.0,40.25,40.25
2021-01-06 10:30:00+00:00,-0.266666667,65.1,65.1
2021-01-06 10:45:00+00:00,-1.0,80.0,80.0
2021-01-06 11:00:00+00:00,0.066666667,45.32,45.32
2021-01-06 11:15:00+00:00,0.2,45.23,45.23
2021-01-06 11:30:00+00:00,0.266666667,44.48,44.48
2021-01-06 11:45:00+00:00,0.266666667,30.44,30.44
2021-01-06 12:00:00+00:00,0.933333333,14.0,14.0
2021-01-06 12:15:00+00:00,0.0,36.44,36.44
2021-01-06 12:30:00+00:00,0.0,43.28,43.28
2021-01-06 12:45:00+00:00,-0.8,48.28,48.28
2021-01-06 13:00:00+00:00,-0.866666667,65.04,65.04
2021-01-06 13:15:00+00:00,-0.4,58.27,58.27
2021-01-06 13:30:00+00:00,-0.266666667,49.43,49.43
2021-01-06 13:45:00+00:00,-0.6,60.41,60.41
2021-01-06 14:00:00+00:00,0.0,53.57,53.57
2021-01-06 14:15:00+00:00,-0.266666667,50.1,50.1
2021-01-06 14:30:00+00:00,-0.533333333,78.73,78.73
2021-01-06 14:45:00+00:00,-0.066666667,61.89,61.89
2021-01-06 15:00:00+00:00,0.2,57.59,44.48
2021-01-06 15:15:00+00:00,-0.491833333,680.4,680.4
2021-01-06 15:30:00+00:00,0.0,802.5,10.16
2021-01-06 15:45:00+00:00,0.266666667,105.86,105.86
2021-01-06 16:00:00+00:00,-0.221166667,647.9,647.9
2021-01-06 16:15:00+00:00,0.266666667,78.99,78.99
2021-01-06 16:30:00+00:00,-0.234166667,277.9,277.9
2021-01-06 16:45:00+00:00,0.0,450.0,450.0
