,Allocation point 1 - Imbalance shortage,Allocation point 1 - Imbalance surplus
2021-01-04 14:45:00+00:00,0.0,2.439
2021-01-04 15:00:00+00:00,-3.8725,0.0
2021-01-04 15:15:00+00:00,-5.6175,0.0
2021-01-04 15:30:00+00:00,-6.5395,0.0
2021-01-04 15:45:00+00:00,0.0,31.765
2021-01-04 16:00:00+00:00,0.0,14.005333333
2021-01-04 16:15:00+00:00,-1.701666667,0.0
2021-01-04 16:30:00+00:00,0.0,0.0
2021-01-04 16:45:00+00:00,-3.499,0.0
2021-01-04 17:00:00+00:00,-8.6865,0.0
2021-01-04 17:15:00+00:00,0.0,0.0
2021-01-04 17:30:00+00:00,-5.3725,0.0
2021-01-04 17:45:00+00:00,-3.75,0.0
2021-01-04 18:00:00+00:00,0.756,0.0
2021-01-04 18:15:00+00:00,0.924,0.0
2021-01-04 18:30:00+00:00,-0.993333333,0.0
2021-01-04 18:45:00+00:00,0.696540166,0.0
2021-01-04 19:00:00+00:00,0.0,69.4975
2021-01-04 19:15:00+00:00,-1.048333333,0.0
2021-01-04 19:30:00+00:00,-0.7385,0.0
2021-01-04 19:45:00+00:00,0.0,0.0
2021-01-04 20:00:00+00:00,0.0,2.1375
2021-01-04 20:15:00+00:00,-0.623333333,0.0
2021-01-04 20:30:00+00:00,0.0,0.0
2021-01-04 20:45:00+00:00,-1.045,0.0
2021-01-04 21:00:00+00:00,0.0,0.0
2021-01-04 21:15:00+00:00,0.0,1.1145
2021-01-04 21:30:00+00:00,-1.138666667,0.0
2021-01-04 21:45:00+00:00,-0.0285,0.0
2021-01-04 22:00:00+00:00,-1.523,0.0
2021-01-04 22:15:00+00:00,7.164666667,0.0
2021-01-04 22:30:00+00:00,2.394736842,0.0
2021-01-04 22:45:00+00:00,0.0,0.0
2021-01-04 23:00:00+00:00,0.0,12.425
2021-01-04 23:15:00+00:00,0.0,2.47
2021-01-04 23:30:00+00:00,-1.035,0.0
2021-01-04 23:45:00+00:00,0.0,7.284
2021-01-05 00:00:00+00:00,0.0,6.777333333
2021-01-05 00:15:00+00:00,0.0,7.035
2021-01-05 00:30:00+00:00,-5.894,0.0
2021-01-05 00:45:00+00:00,-4.706166667,0.0
2021-01-05 01:00:00+00:00,0.0,0.0
2021-01-05 01:15:00+00:00,-1.276,0.0
2021-01-05 01:30:00+00:00,-0.425333333,0.0
2021-01-05 01:45:00+00:00,-0.383666667,0.0
2021-01-05 02:00:00+00:00,0.0,0.0
2021-01-05 02:15:00+00:00,-0.383833333,0.0
2021-01-05 02:30:00+00:00,-0.383833333,0.0
2021-01-05 02:45:00+00:00,-0.601,0.0
2021-01-05 03:00:00+00:00,-0.350666667,0.0
2021-01-05 03:15:00+00:00,0.716,0.0
2021-01-05 03:30:00+00:00,0.0,0.0
2021-01-05 03:45:00+00:00,0.0,0.0
2021-01-05 04:00:00+00:00,0.0,0.0
2021-01-05 04:15:00+00:00,6.40465651,0.0
2021-01-05 04:30:00+00:00,0.0,0.0
2021-01-05 04:45:00+00:00,0.0,0.0
2021-01-05 05:00:00+00:00,0.0,0.0
2021-01-05 05:15:00+00:00,0.0,0.389333333
2021-01-05 05:30:00+00:00,0.0,3.081666667
2021-01-05 05:45:00+00:00,4.667,0.0
2021-01-05 06:00:00+00:00,0.0,0.0
2021-01-05 06:15:00+00:00,0.0,0.0
2021-01-05 06:30:00+00:00,0.0,1.207
2021-01-05 06:45:00+00:00,0.0,23.7
2021-01-05 07:00:00+00:00,-6.621,0.0
2021-01-05 07:15:00+00:00,0.0,1.297333333
2021-01-05 07:30:00+00:00,0.0,112.5
2021-01-05 07:45:00+00:00,0.0,112.5
2021-01-05 08:00:00+00:00,0.0,10.43
2021-01-05 08:15:00+00:00,0.0,69.81
2021-01-05 08:30:00+00:00,0.0,69.81
2021-01-05 08:45:00+00:00,0.0,67.9125
2021-01-05 09:00:00+00:00,-4.6475,0.0
2021-01-05 09:15:00+00:00,0.0,3.140760417
2021-01-05 09:30:00+00:00,-3.336730833,0.0
2021-01-05 09:45:00+00:00,0.0,0.804833333
2021-01-05 10:00:00+00:00,-4.1335,0.0
2021-01-05 10:15:00+00:00,-7.462,0.0
2021-01-05 10:30:00+00:00,0.0,1.181
2021-01-05 10:45:00+00:00,-10.064166667,0.0
2021-01-05 11:00:00+00:00,0.0,13.303333333
2021-01-05 11:15:00+00:00,0.0,1.735666667
2021-01-05 11:30:00+00:00,-4.249,0.0
2021-01-05 11:45:00+00:00,-9.23,0.0
2021-01-05 12:00:00+00:00,0.0,0.0
2021-01-05 12:15:00+00:00,0.0,3.118666667
2021-01-05 12:30:00+00:00,0.0,3.908333333
2021-01-05 12:45:00+00:00,0.0,0.0
2021-01-05 13:00:00+00:00,-5.071666667,0.0
2021-01-05 13:15:00+00:00,-2.547333333,0.0
2021-01-05 13:30:00+00:00,-3.830166667,0.0
2021-01-05 13:45:00+00:00,0.0,1.273666667
2021-01-05 14:00:00+00:00,-5.845,0.0
2021-01-05 14:15:00+00:00,-2.261333333,0.0
2021-01-05 14:30:00+00:00,0.0,0.0
2021-01-05 14:45:00+00:00,0.0,0.0
2021-01-05 15:00:00+00:00,-3.038,0.0
2021-01-05 15:15:00+00:00,0.0,0.0
2021-01-05 15:30:00+00:00,-1.1465,0.0
2021-01-05 15:45:00+00:00,0.0,9.32
2021-01-05 16:00:00+00:00,5.872,0.0
2021-01-05 16:15:00+00:00,0.0,2.721333333
2021-01-05 16:30:00+00:00,-2.535833333,0.0
2021-01-05 16:45:00+00:00,2.428333333,0.0
2021-01-05 17:00:00+00:00,0.0,0.0
2021-01-05 17:15:00+00:00,0.0,0.0
2021-01-05 17:30:00+00:00,-1.333333333,0.0
2021-01-05 17:45:00+00:00,-0.293166667,0.0
2021-01-05 18:00:00+00:00,0.0,1.081
2021-01-05 18:15:00+00:00,2.6335,0.0
2021-01-05 18:30:00+00:00,-3.985833333,0.0
2021-01-05 18:45:00+00:00,-1.3,0.0
2021-01-05 19:00:00+00:00,0.0,3.7
2021-01-05 19:15:00+00:00,0.0,9.919
2021-01-05 19:30:00+00:00,0.0,0.632833333
2021-01-05 19:45:00+00:00,-1.275333333,0.0
2021-01-05 20:00:00+00:00,0.0,2.972
2021-01-05 20:15:00+00:00,0.0,2.511333333
2021-01-05 20:30:00+00:00,0.0,0.0
2021-01-05 20:45:00+00:00,0.0,0.0
2021-01-05 21:00:00+00:00,0.0,25.302666667
2021-01-05 21:15:00+00:00,0.0,7.014
2021-01-05 21:30:00+00:00,-1.7,0.0
2021-01-05 21:45:00+00:00,-6.781666667,0.0
2021-01-05 22:00:00+00:00,0.0,3.718333333
2021-01-05 22:15:00+00:00,0.0015,0.0
2021-01-05 22:30:00+00:00,0.49,0.0
2021-01-05 22:45:00+00:00,4.245,0.0
2021-01-05 23:00:00+00:00,1.2125,0.0
2021-01-05 23:15:00+00:00,-1.4675,0.0
2021-01-05 23:30:00+00:00,0.0,0.0
2021-01-05 23:45:00+00:00,0.483333333,0.0
2021-01-06 00:00:00+00:00,0.0,6.468
2021-01-06 00:15:00+00:00,0.0,0.0
2021-01-06 00:30:00+00:00,0.0,0.0
2021-01-06 00:45:00+00:00,-0.367833333,0.0
2021-01-06 01:00:00+00:00,0.0,10.52
2021-01-06 01:15:00+00:00,0.0,0.638833333
2021-01-06 01:30:00+00:00,0.0,0.0
2021-01-06 01:45:00+00:00,0.0,1.277666667
2021-01-06 02:00:00+00:00,-2.223333333,0.0
2021-01-06 02:15:00+00:00,0.0,0.0
2021-01-06 02:30:00+00:00,0.0,0.0
2021-01-06 02:45:00+00:00,0.0,0.0
2021-01-06 03:00:00+00:00,0.0,14.676666667
2021-01-06 03:15:00+00:00,0.0,12.926666667
2021-01-06 03:30:00+00:00,0.0,4.79
2021-01-06 03:45:00+00:00,0.0,4.05
2021-01-06 04:00:00+00:00,31.4125,0.0
2021-01-06 04:15:00+00:00,-1.887666667,0.0
2021-01-06 04:30:00+00:00,-3.7975,0.0
2021-01-06 04:45:00+00:00,-0.4,0.0
2021-01-06 05:00:00+00:00,-1.054666667,0.0
2021-01-06 05:15:00+00:00,11.5672253,0.0
2021-01-06 05:30:00+00:00,0.0,0.0
2021-01-06 05:45:00+00:00,0.0,4.55
2021-01-06 06:00:00+00:00,-1.892,0.0
2021-01-06 06:15:00+00:00,0.0,5.265
2021-01-06 06:30:00+00:00,0.0,12.545
2021-01-06 06:45:00+00:00,0.0,1.3325
2021-01-06 07:00:00+00:00,0.0,0.0
2021-01-06 07:15:00+00:00,0.0,157.6
2021-01-06 07:30:00+00:00,0.0,69.475
2021-01-06 07:45:00+00:00,0.0,19.4775
2021-01-06 08:00:00+00:00,-6.006,0.0
2021-01-06 08:15:00+00:00,-7.995,0.0
2021-01-06 08:30:00+00:00,-5.2095,0.0
2021-01-06 08:45:00+00:00,-1.422666667,0.0
2021-01-06 09:00:00+00:00,0.0,6.966666667
2021-01-06 09:15:00+00:00,-7.102666667,0.0
2021-01-06 09:30:00+00:00,-4.7595,0.0
2021-01-06 09:45:00+00:00,-2.176,0.0
2021-01-06 10:00:00+00:00,0.0,0.607333333
2021-01-06 10:15:00+00:00,0.0,0.0
2021-01-06 10:30:00+00:00,0.0,4.34
2021-01-06 10:45:00+00:00,0.0,20.0
2021-01-06 11:00:00+00:00,-0.755333333,0.0
2021-01-06 11:15:00+00:00,-2.2615,0.0
2021-01-06 11:30:00+00:00,-2.965333333,0.0
2021-01-06 11:45:00+00:00,-2.029333333,0.0
2021-01-06 12:00:00+00:00,-3.266666667,0.0
2021-01-06 12:15:00+00:00,0.0,0.0
2021-01-06 12:30:00+00:00,0.0,0.0
2021-01-06 12:45:00+00:00,0.0,9.656
2021-01-06 13:00:00+00:00,0.0,14.092
2021-01-06 13:15:00+00:00,0.0,5.827
2021-01-06 13:30:00+00:00,0.0,3.295333333
